value,%
6.44,0.67
6.45,0.67
6.46,0.67
6.47,0.67
6.48,0.67
6.49,0.68
6.50,0.68
6.51,0.68
6.52,0.68
6.53,0.68
6.54,0.68
6.55,0.68
6.56,0.68
6.57,0.69
6.58,0.69
6.59,0.69
6.60,0.69
6.61,0.69
6.62,0.69
6.63,0.69
6.64,0.69
6.65,0.70
6.66,0.70
6.67,0.70
6.68,0.70
6.69,0.70
6.70,0.70
6.71,0.70
6.72,0.70
6.73,0.71
6.74,0.71
6.75,0.71
6.76,0.71
6.77,0.71
6.78,0.71
6.79,0.71
6.80,0.71
6.81,0.72
6.82,0.72
6.83,0.72
6.84,0.72
6.85,0.72
6.86,0.72
6.87,0.72
6.88,0.72
6.89,0.73
6.90,0.73
6.91,0.73
6.92,0.73
6.93,0.73
6.94,0.73
6.95,0.73
6.96,0.73
6.97,0.74
6.98,0.74
6.99,0.74
7.00,0.74
7.01,0.74
7.02,0.74
7.03,0.74
7.04,0.74
7.05,0.75
7.06,0.75
7.07,0.75
7.08,0.75
7.09,0.75
7.10,0.75
7.11,0.75
7.12,0.75
7.13,0.76
7.14,0.76
7.15,0.76
7.16,0.76
7.17,0.76
7.18,0.76
7.19,0.76
7.20,0.76
7.21,0.77
7.22,0.77
7.23,0.77
7.24,0.77
7.25,0.77
7.26,0.77
7.27,0.77
7.28,0.77
7.29,0.78
7.30,0.78
7.31,0.78
7.32,0.78
7.33,0.78
7.34,0.78
7.35,0.78
7.36,0.78
7.37,0.79
7.38,0.79
7.39,0.79
7.40,0.79
7.41,0.79
7.42,0.79
7.43,0.79
7.44,0.79
7.45,0.80
7.46,0.80
7.47,0.80
7.48,0.80
7.49,0.80
7.50,0.80
7.51,0.80
7.52,0.80
7.53,0.81
7.54,0.81
7.55,0.81
7.56,0.81
7.57,0.81
7.58,0.81
7.59,0.81
7.60,0.81
7.61,0.82
7.62,0.82
7.63,0.82
7.64,0.82
7.65,0.82
7.66,0.82
7.67,0.82
7.68,0.82
7.69,0.83
7.70,0.83
7.71,0.83
7.72,0.83
7.73,0.83
7.74,0.83
7.75,0.83
7.76,0.83
7.77,0.84
7.78,0.84
7.79,0.84
7.80,0.84
7.81,0.84
7.82,0.84
7.83,0.84
7.84,0.84
7.85,0.85
7.86,0.85
7.87,0.85
7.88,0.85
7.89,0.85
7.90,0.85
7.91,0.85
7.92,0.85
7.93,0.86
7.94,0.86
7.95,0.86
7.96,0.86
7.97,0.86
7.98,0.86
7.99,0.86
8.00,0.86
8.01,0.87
8.02,0.87
8.03,0.87
8.04,0.87
8.05,0.87
8.06,0.87
8.07,0.87
8.08,0.87
8.09,0.88
8.10,0.88
8.11,0.88
8.12,0.88
8.13,0.88
8.14,0.88
8.15,0.88
8.16,0.88
8.17,0.89
8.18,0.89
8.19,0.89
8.20,0.89
8.21,0.89
8.22,0.89
8.23,0.89
8.24,0.89
8.25,0.90
8.26,0.90
8.27,0.90
8.28,0.90
8.29,0.90
8.30,0.90
8.31,0.90
8.32,0.90
8.33,0.91
8.34,0.91
8.35,0.91
8.36,0.91
8.37,0.91
8.38,0.91
8.39,0.91
8.40,0.91
8.41,0.92
8.42,0.92
